Latitude (decimal degrees):	42.469
Longitude (decimal degrees):	12.739
Elevation (m):	943
Radiation database:	PVGIS-SARAH3


Slope: 36 deg. (optimum)
Azimuth: -15 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230101:0010,0.0,0.0,0.0,5.47,1.38,0.0
20230101:0110,0.0,0.0,0.0,4.69,1.45,0.0
20230101:0210,0.0,0.0,0.0,4.05,1.38,0.0
20230101:0310,0.0,0.0,0.0,3.83,1.38,0.0
20230101:0410,0.0,0.0,0.0,3.53,1.38,0.0
20230101:0510,0.0,0.0,0.0,3.16,1.38,0.0
20230101:0610,0.0,0.0,0.0,2.9,1.31,0.0
20230101:0710,79.46,105.78,4.03,3.29,1.24,0.0
20230101:0810,431.35,505.15,12.23,5.11,1.03,0.0
20230101:0910,515.08,623.37,18.72,9.4,0.69,0.0
20230101:1010,614.38,774.18,22.97,12.04,0.21,0.0
20230101:1110,605.92,762.64,24.52,13.19,0.48,0.0
20230101:1210,578.62,723.73,23.17,13.74,0.69,0.0
20230101:1310,490.79,608.11,19.1,13.92,0.69,0.0
20230101:1410,24.9,44.16,12.74,13.69,0.76,0.0
20230101:1510,8.75,21.64,4.64,12.87,0.76,0.0
20230101:1610,0.0,0.0,0.0,11.71,0.48,0.0
20230101:1710,0.0,0.0,0.0,11.08,0.28,0.0
20230101:1810,0.0,0.0,0.0,10.38,0.41,0.0
20230101:1910,0.0,0.0,0.0,10.32,0.55,0.0
20230101:2010,0.0,0.0,0.0,9.3,0.9,0.0
20230101:2110,0.0,0.0,0.0,8.36,0.97,0.0
20230101:2210,0.0,0.0,0.0,7.62,1.03,0.0
20230101:2310,0.0,0.0,0.0,7.03,1.17,0.0
20230102:0010,0.0,0.0,0.0,6.52,1.24,0.0
20230102:0110,0.0,0.0,0.0,6.05,1.31,0.0
20230102:0210,0.0,0.0,0.0,5.47,1.31,0.0
20230102:0310,0.0,0.0,0.0,4.76,1.31,0.0
